	PrName	ZIJN	STAD	DOEN	MEDE	HEER	MAN	GROOT	KOMEN	DOOD	ZIEN	DAT	WEL	GAAN	STOND	STAAN	LAND	DAG	EER	ZAAN	DAAR	NIET	GOED	LEVEN	MOGEN	JAAR	ZEER	ZULLEN	TIJD	AL	AAN	WAAN	LIGGEN	VERSTAAN	HOREN	VINDEN	GEVEN	ONTVANGEN	DAN	GESCHIEDEN	DING	VAREN	WAAR	NEMEN	KIND	WILLEN	BLIJVEN	GEWELD	LIEDEN	PLEGEN
HvTroy_9	0.0296846011132	0.0190166975881	0.0120593692022	0.0204081632653	0.00278293135436	0.00417439703154	0.00556586270872	0.012987012987	0.00556586270872	0.00927643784787	0.00649350649351	0.00371057513915	0.0111317254174	0.00602968460111	0.00417439703154	0.00974025974026	0.00278293135436	0.00834879406308	0.0102040816327	0.00324675324675	0.00417439703154	0.00510204081633	0.00602968460111	0.00556586270872	0.00927643784787	0.00185528756957	0.00649350649351	0.00324675324675	0.00881261595547	0.00463821892393	0.00185528756957	0.00510204081633	0.00231910946197	0.00324675324675	0.00371057513915	0.00417439703154	0.00324675324675	0.00463821892393	0.00371057513915	0.00371057513915	0.00139146567718	0.00324675324675	0.00556586270872	0.00278293135436	0.00185528756957	0.00324675324675	0.00417439703154	0.00510204081633	0.00417439703154	0.00185528756957
HvTroy_10	0.0384972170686	0.0185528756957	0.00834879406308	0.0194805194805	0.00231910946197	0.00463821892393	0.00742115027829	0.0125231910946	0.0102040816327	0.0125231910946	0.00881261595547	0.00371057513915	0.010667903525	0.00324675324675	0.00602968460111	0.00834879406308	0.00231910946197	0.00974025974026	0.0125231910946	0.00556586270872	0.00602968460111	0.00742115027829	0.00788497217069	0.00463821892393	0.00649350649351	0.00139146567718	0.00742115027829	0.00139146567718	0.00371057513915	0.00463821892393	0.00278293135436	0.00602968460111	0.00371057513915	0.00278293135436	0.00324675324675	0.00231910946197	0.00185528756957	0.00324675324675	0.00231910946197	0.00417439703154	0.00185528756957	0.00417439703154	0.00371057513915	0.00417439703154	0.00324675324675	0.00278293135436	0.00324675324675	0.00742115027829	0.00185528756957	0.000463821892393
HvTroy_11	0.0366419294991	0.0180890538033	0.00649350649351	0.0162337662338	0.00556586270872	0.00556586270872	0.00974025974026	0.0162337662338	0.012987012987	0.0171614100186	0.00927643784787	0.00463821892393	0.0139146567718	0.00556586270872	0.00510204081633	0.00742115027829	0.00231910946197	0.0069573283859	0.0069573283859	0.0069573283859	0.00324675324675	0.00649350649351	0.00510204081633	0.00556586270872	0.00556586270872	0.00139146567718	0.00742115027829	0.00231910946197	0.00556586270872	0.00324675324675	0.00463821892393	0.00510204081633	0.00278293135436	0.00463821892393	0.00231910946197	0.000927643784787	0.00324675324675	0.00139146567718	0.00139146567718	0.00556586270872	0.00231910946197	0.00510204081633	0.00463821892393	0.00371057513915	0.00417439703154	0.00324675324675	0.00463821892393	0.00417439703154	0.00324675324675	0.0
HvTroy_12	0.0640074211503	0.0269016697588	0.012987012987	0.0194805194805	0.00788497217069	0.00742115027829	0.0115955473098	0.015306122449	0.00742115027829	0.0148423005566	0.00649350649351	0.00742115027829	0.0111317254174	0.00324675324675	0.00417439703154	0.00602968460111	0.00139146567718	0.00371057513915	0.00834879406308	0.00185528756957	0.00231910946197	0.00788497217069	0.00556586270872	0.00371057513915	0.00602968460111	0.00139146567718	0.00463821892393	0.00556586270872	0.00510204081633	0.00881261595547	0.00463821892393	0.00371057513915	0.00417439703154	0.00185528756957	0.00463821892393	0.00139146567718	0.00371057513915	0.00139146567718	0.00231910946197	0.00463821892393	0.00324675324675	0.00510204081633	0.00463821892393	0.00324675324675	0.00371057513915	0.00139146567718	0.00324675324675	0.00324675324675	0.00139146567718	0.000927643784787
HvTroy_13	0.133116883117	0.0222634508349	0.0143784786642	0.0143784786642	0.0069573283859	0.00463821892393	0.00510204081633	0.00834879406308	0.0069573283859	0.00834879406308	0.0111317254174	0.00185528756957	0.00974025974026	0.00788497217069	0.00417439703154	0.0120593692022	0.0120593692022	0.0069573283859	0.00556586270872	0.00278293135436	0.00231910946197	0.00556586270872	0.00556586270872	0.00278293135436	0.00417439703154	0.00231910946197	0.00602968460111	0.00231910946197	0.00556586270872	0.00371057513915	0.00139146567718	0.00834879406308	0.00324675324675	0.00185528756957	0.00185528756957	0.00371057513915	0.00185528756957	0.00463821892393	0.00185528756957	0.00324675324675	0.00371057513915	0.00139146567718	0.00278293135436	0.00417439703154	0.00139146567718	0.0	0.00185528756957	0.00463821892393	0.00185528756957	0.000463821892393
HvTroy_14	0.0700371057514	0.0217996289425	0.0264378478664	0.0204081632653	0.00742115027829	0.00463821892393	0.00742115027829	0.010667903525	0.0102040816327	0.00974025974026	0.00927643784787	0.0102040816327	0.00788497217069	0.00742115027829	0.00371057513915	0.00834879406308	0.00463821892393	0.00510204081633	0.00510204081633	0.00742115027829	0.00417439703154	0.00556586270872	0.00556586270872	0.00556586270872	0.00556586270872	0.00278293135436	0.00278293135436	0.00649350649351	0.00371057513915	0.00556586270872	0.00139146567718	0.00324675324675	0.00417439703154	0.00974025974026	0.00556586270872	0.00139146567718	0.00324675324675	0.00371057513915	0.00324675324675	0.00417439703154	0.00463821892393	0.00371057513915	0.00417439703154	0.00185528756957	0.00649350649351	0.00463821892393	0.0069573283859	0.00324675324675	0.00417439703154	0.00139146567718
HvTroy_15	0.0602968460111	0.0120593692022	0.0115955473098	0.0217996289425	0.00556586270872	0.00649350649351	0.00881261595547	0.00834879406308	0.0139146567718	0.00788497217069	0.00788497217069	0.00417439703154	0.00556586270872	0.00324675324675	0.000927643784787	0.00649350649351	0.015306122449	0.00742115027829	0.0134508348794	0.00417439703154	0.00463821892393	0.00371057513915	0.00324675324675	0.00463821892393	0.00881261595547	0.00231910946197	0.00788497217069	0.00185528756957	0.00278293135436	0.00510204081633	0.00231910946197	0.00463821892393	0.00278293135436	0.0069573283859	0.00556586270872	0.00324675324675	0.00510204081633	0.00510204081633	0.00185528756957	0.00510204081633	0.00371057513915	0.00556586270872	0.00556586270872	0.00742115027829	0.00510204081633	0.00278293135436	0.00649350649351	0.00556586270872	0.0069573283859	0.0
HvTroy_16	0.0779220779221	0.0222634508349	0.00788497217069	0.0139146567718	0.00324675324675	0.00231910946197	0.00649350649351	0.010667903525	0.0166975881262	0.00834879406308	0.0143784786642	0.00881261595547	0.00556586270872	0.00742115027829	0.00463821892393	0.00602968460111	0.0180890538033	0.00463821892393	0.00927643784787	0.00881261595547	0.00417439703154	0.00742115027829	0.00556586270872	0.00324675324675	0.00649350649351	0.00231910946197	0.00510204081633	0.00602968460111	0.00463821892393	0.00417439703154	0.00324675324675	0.00324675324675	0.00324675324675	0.00649350649351	0.00278293135436	0.00139146567718	0.00231910946197	0.00231910946197	0.000463821892393	0.00510204081633	0.00231910946197	0.00834879406308	0.00417439703154	0.00556586270872	0.00834879406308	0.00371057513915	0.00324675324675	0.000927643784787	0.00231910946197	0.000927643784787
HvTroy_17	0.0983302411874	0.028293135436	0.0157699443414	0.0162337662338	0.0069573283859	0.00742115027829	0.00927643784787	0.00834879406308	0.0157699443414	0.0069573283859	0.010667903525	0.00927643784787	0.0069573283859	0.00556586270872	0.00371057513915	0.00510204081633	0.012987012987	0.00417439703154	0.00788497217069	0.00742115027829	0.00417439703154	0.00463821892393	0.00371057513915	0.00602968460111	0.00417439703154	0.00139146567718	0.00463821892393	0.00556586270872	0.00602968460111	0.00649350649351	0.00324675324675	0.00139146567718	0.00371057513915	0.0	0.00324675324675	0.00185528756957	0.00324675324675	0.0	0.00139146567718	0.00185528756957	0.00139146567718	0.00742115027829	0.00417439703154	0.00278293135436	0.00463821892393	0.00324675324675	0.00602968460111	0.00185528756957	0.00231910946197	0.00231910946197
HvdGrale_1	0.0394248608534	0.0208719851577	0.0139146567718	0.0208719851577	0.00649350649351	0.0111317254174	0.0102040816327	0.00324675324675	0.0120593692022	0.00185528756957	0.00742115027829	0.010667903525	0.00649350649351	0.0102040816327	0.00649350649351	0.010667903525	0.00231910946197	0.00510204081633	0.00417439703154	0.00602968460111	0.00417439703154	0.0111317254174	0.00649350649351	0.00510204081633	0.00602968460111	0.00324675324675	0.00649350649351	0.00602968460111	0.00463821892393	0.00834879406308	0.00139146567718	0.00788497217069	0.00324675324675	0.00881261595547	0.00278293135436	0.00324675324675	0.010667903525	0.00649350649351	0.00417439703154	0.00556586270872	0.00371057513915	0.00139146567718	0.00417439703154	0.00324675324675	0.00649350649351	0.00278293135436	0.00602968460111	0.00139146567718	0.00324675324675	0.00139146567718
