"Gratian0-q_1" "Gratian1_1" "Gratian1_2" "Gratian1_3" "Gratian1_4" "Gratian1_5" "Gratian1_6" "Gratian1_7" "Gratian1_8" "Gratian1_9" "Gratian1_10" "Gratian1_11" "Gratian1_12" "Gratian1_13" "Gratian1_14" "Gratian1_15" "Gratian1_16" "Gratian1_17" "Gratian1_18" "Gratian1_19" "Gratian1_20" "Gratian1_21" "Gratian1_22" "Gratian1_23" "Gratian1_24" "Gratian1_25" "Gratian1_26" "Gratian1_27" "Gratian1_28" "Gratian1_29" "Gratian1_30" "Gratian1_31" "Gratian1_32" "Gratian1_33" "Gratian1_34" "Gratian1_35" "Gratian2_1" "Gratian2_2" "Gratian2_3" "Gratian2_4" "Gratian2_5" "Gratian2_6" "Gratian2_7" "Gratian2_8" "dePen1_1" "dePen1_2" "dePen1_3" "dePen1_4" "dePen1_5"
"autem" 0.125 1.0625 0.875 0.75 0.5 0.875 0.875 1.4375 0.375 0.375 0.1875 0.6875 0.3125 0.25 0.625 1.375 0.5625 0.5 0.6875 0.9375 0.625 1 0.5625 0.9375 0.8125 0.5625 0.625 0.6875 0.75 0.5 0.8125 0.5 0.625 0.75 0.9375 0.625 0.6875 1.0625 1.1875 0.75 0.5625 0.9375 0.9375 0.6875 0.625 0.0625 0.5 0.625 1.1875
"a" 0.9375 0.5 0.9375 0.625 0.5625 1.125 0.8125 0.75 1.1875 1 0.25 0.8125 1.625 1.4375 1.0625 0.5 0.375 0.1875 0.4375 0.5 0.375 1.125 0.5 0.5625 0.375 1 0.25 0.9375 0.75 0.8125 0.375 0.625 0.5625 0.3125 0.8125 0.9375 0.1875 0.75 0.3125 0.375 0.8125 0.8125 0.625 0.4375 1.5625 0.8125 0.875 0.6875 0.6875
"ex" 0.6875 0.6875 0.4375 1.25 0.4375 0.1875 0.9375 0.5625 0.375 0.5625 0.375 0.375 0.375 0.5625 0.75 0.375 0.875 1.625 0.375 1.1875 0.5 0.4375 0.25 0.375 1.0625 0.0625 0.3125 0.75 1.25 0.3125 0.75 0.875 0.0625 1.3125 0.3125 0.4375 0.875 0.375 0.875 0.75 0.375 0.4375 0.125 0.5 0.375 0.25 0.6875 1.25 0.375
"enim" 0 0.5 0.1875 0.375 1.1875 0.4375 0.375 0.5625 0.625 0.4375 0.3125 0.8125 0.5 0.8125 0.6875 0.375 0.4375 0.3125 0.375 0.8125 0.5625 0.5 0.5 0.8125 0.375 0.75 0.4375 0.4375 0.3125 0.3125 0.75 0.5 0.8125 0.4375 0.5625 0.125 0.375 0.3125 0.4375 0.4375 0.3125 0.25 0.3125 0.625 0.8125 0.8125 0.4375 0.625 0.625
"uero" 0.6875 1.25 0.6875 0.25 0.3125 0.4375 0.625 0.625 0.375 0.5625 0.5 0.5625 0.875 0.125 0.625 0.875 0.6875 0.5 0.1875 0.5 0.8125 0.375 0.8125 0.125 0.3125 0.375 0.3125 0.3125 0.625 0.3125 0.5 0.375 0.6875 0.1875 0.1875 0.375 0.5625 1.125 0.5 0.5625 0.5625 0.5625 0.6875 0.25 0.125 0.3125 0.3125 0.1875 0.25
"etiam" 0 0.1875 0.375 1.25 1.1875 0.5625 0.625 0.625 1 1 0.125 0.125 0.125 0.1875 0.1875 0.5 0.125 0.375 0.25 0.375 0.3125 0.3125 0.5 0.25 0.1875 0.8125 0.625 0.3125 0.75 0.25 0.25 0.3125 0.125 0.4375 0.4375 0.5625 0.6875 0.875 0.4375 0.5 0.6875 0.8125 0.9375 0.5625 0.4375 0.25 0.375 0.5625 0.5625
"ab" 0.875 0.1875 0.5 0.375 0.375 0.375 1.125 0.75 0.6875 1.0625 0.625 0.8125 1.0625 0.375 0.5625 0.6875 0.625 0.375 0.375 0.0625 0.5625 0.3125 0.3125 0.1875 0.3125 0.5625 0.25 0.4375 0.8125 0.5 1 0.1875 0.5625 0 0.5 0.6875 0.25 0.1875 0.4375 0.25 0.375 0.1875 0.5625 0.25 0.4375 0.125 0.25 0.125 0
"ergo" 0 0.375 0.3125 0.125 0.25 0.3125 0.5 0 0.5 0.625 0.6875 0.0625 0.1875 0.8125 0.75 0.1875 0.4375 0.6875 0.5625 0.6875 0.375 0.6875 0.5 0.625 0.5625 0.1875 0.375 0.5625 0.4375 0.8125 0.4375 0.5625 0.9375 0.5 0.25 0.5 0.0625 0.125 0.0625 0.1875 0.1875 0.0625 0.1875 0.375 0.875 0.5 0.6875 0.375 0.375
"quia" 0.125 0.375 0.3125 0.875 0.6875 0.4375 0.375 0.3125 0.3125 0.8125 0.625 0.375 0.3125 0.5 0.1875 0.0625 0.375 0.4375 0.6875 1 0.3125 0.25 0.25 0.6875 0.5625 0.5 0.3125 0.3125 0.5 0.0625 0.3125 0.5625 0.75 0.625 0.375 0.375 0.625 0.25 0 0.1875 0.375 0.25 0.3125 0.1875 0.1875 0.3125 0.1875 0.4375 0.625
"item" 0.0625 0.1875 0.125 0.0625 0 0.1875 0.4375 0 0.375 0.25 0.875 0.25 0.625 0.625 0.875 0.25 0.125 0.6875 1.5 0.375 0.0625 0.125 0.125 0.4375 0.75 0.5625 0.375 0.4375 0.625 0.25 0.9375 1 0.375 0.125 0.125 0.3125 0.0625 0.4375 0.4375 0.5 0.5 0.625 0.3125 0.375 0.3125 0.6875 0.625 0.1875 0.3125
"per" 0.5625 0.1875 0.125 0.25 0.3125 0.3125 0.1875 0.3125 0.4375 0.625 0.375 0.4375 0.3125 1.25 0.6875 0.25 0.0625 0.1875 0.0625 0.125 0.0625 0.3125 0.125 1.375 0 0.25 1.375 0.1875 0.25 0.125 0.6875 0.3125 0.0625 0.1875 0.125 0.4375 0.4375 0.0625 0.375 0.5 0.5 0.0625 0.3125 0.4375 0.6875 0.5 0.25 0.1875 0.25
"nec" 0.0625 0.5 0.4375 0.0625 0.4375 0.25 0.125 0.4375 0.4375 0.375 0.1875 0.5 0.1875 0.125 0.0625 0.1875 0.3125 0.6875 0.4375 0.3125 0.875 0.4375 0.5 0.625 0.375 0.25 0.375 0.8125 0.625 0.3125 0.25 0.5 0.5625 0.5 0.625 0.375 0.375 0.3125 0.625 0.25 0.3125 0.1875 0.25 0.375 0.125 0.1875 0.125 0.25 0.0625
"sicut" 0 0.25 0.1875 0.125 0.0625 0.3125 0.4375 0.5 0.375 0.5 0.375 0.625 0.125 0.125 0.1875 0.125 0.25 0.3125 0.3125 0.125 0.5 0.375 0.25 0.3125 0.5 0.1875 0.625 0.1875 0.5 0.3125 0.25 0.3125 0.125 0.3125 0.125 0.4375 0.25 0.25 0.4375 0.1875 0.5 0.6875 0.0625 0.4375 0.3125 0.1875 0.1875 0.375 0.8125
"nisi" 0.0625 0.125 0.3125 0.0625 0.0625 0.125 0.3125 0.375 0.5 0.375 0.1875 0.25 0.1875 0.25 0.1875 0.3125 0.5 0.25 0.125 0.1875 0.5 0.4375 0.25 0.1875 0.125 0.125 0.125 0.4375 0.375 0.375 0.625 0.0625 0.1875 0.875 0.4375 0.25 0.1875 0.375 0.1875 0.5 0.25 0.3125 0.3125 0.1875 0.625 0.625 0.125 0.125 0.125
"ita" 0 0.4375 0.375 0.125 0.0625 0.125 0.375 0.3125 0.25 0.1875 0.1875 0.3125 0.3125 0.375 0.5 0.125 0.375 0.25 0.125 0.25 0.3125 0.5 0.3125 0.1875 0.25 0.125 0.1875 0.375 0.25 0.75 0.375 0.375 0.3125 0.25 0.625 0.75 0.5 0.375 0.3125 0.0625 0 0.125 0.0625 0.3125 0.125 0.3125 0.0625 0.3125 0.0625
"tamen" 0.25 0.1875 0.1875 0.1875 0.0625 0.125 0.0625 0.1875 0.4375 0.75 0 0.4375 0.4375 0.1875 0.375 0.125 0.0625 0.625 0.0625 0.1875 0.375 0.3125 0.25 0.625 0.625 0.4375 0.125 0.25 0.125 0.4375 0 0.125 0.375 0.5 0.25 0.3125 0.625 0.1875 0.125 0.0625 0.3125 0.0625 0.1875 0.5 0.0625 0.125 0.25 0.25 0.5
"quam" 0.1875 0.375 0.125 0.25 0.125 0.1875 0.125 0.125 0.0625 0.3125 0.0625 0.125 0.25 0.1875 0.125 0.125 0.1875 0.25 0 0.375 0.0625 0.25 0.25 0.4375 0.4375 0.375 0.3125 0.125 0.125 0.125 0.0625 0.875 0.5 0.4375 0.1875 0.1875 0.5625 0.125 0.125 0.375 0.0625 0.1875 0.0625 0.4375 0.875 0.1875 0.5 0.3125 0.3125
"pro" 0.0625 0.0625 0.3125 0 0.1875 0.3125 0.0625 0.25 0.5625 0.25 0.3125 1.0625 0.1875 0.125 0 0.1875 0.1875 0.375 0.625 0.6875 0.4375 0.3125 0.375 0.1875 0.0625 0.4375 0.375 0.125 0.875 0.25 0 0 0.125 0.25 0.0625 0 0.0625 0.0625 0.125 0.5 0.1875 0.5 0.125 0.1875 0.125 0.375 0.3125 0 0.3125
"sic" 0.0625 0 0.125 0.1875 0.1875 0.25 0.25 0.0625 0.25 0.375 0.0625 0.125 0.1875 0.125 0.1875 0.5625 0.5625 0 0.0625 0.1875 0.375 0.3125 0.5625 0.4375 0.4375 0.75 0.4375 0.125 0 0.3125 0.25 0.3125 0.125 0.3125 0.125 0.25 0.125 0.125 0 0 0.3125 0.1875 0.125 0.125 0.125 0.3125 0.0625 0.375 0.375
"quo" 0.25 0.375 0.3125 0.25 0.0625 0.1875 0.3125 0 0.0625 0.125 0.0625 0.3125 0.5 0 0.25 0.3125 0.125 0 0.25 0.125 0.1875 0.125 0.375 0.3125 0.625 0.25 0.25 0.375 0.375 0.1875 0.1875 0.1875 0.0625 0 0.3125 0.125 0.3125 0 0.0625 0.375 0.25 0.0625 0.125 0.125 0.4375 0.3125 0.0625 0.1875 0.1875
"sine" 0.25 0 0.6875 0 0.1875 0 0 0.125 0.25 0.0625 0 0.5 0.125 0.0625 0.1875 0 0.3125 0.0625 0 0 0.25 0 0.25 0 0.25 0.0625 0.125 0.25 0.0625 0.125 0.25 0.1875 0.1875 0.1875 0.5 0.0625 0.125 0.3125 0.125 0.125 0.0625 0.0625 0.1875 0.125 0.3125 0.875 0.6875 0.3125 0.1875
"licet" 0 0 0.0625 0.125 0.0625 0.0625 0.0625 0.25 0.0625 0.3125 0.1875 0 0.3125 0.125 0.125 0.25 0.1875 0.5 0.125 0.4375 0.25 0.25 0.3125 0.125 0.0625 0.0625 0.1875 0.25 0 0.125 0.0625 0.1875 0.25 0.1875 0.25 0.25 0.25 0.0625 0.25 0 0.1875 0.25 0.5 0.1875 0 0.0625 0.0625 0.0625 0.125
"post" 0.3125 0.25 0.5 0.4375 0 0.8125 0 0.125 0.0625 0.0625 0.0625 0.0625 0.4375 0 0.1875 0 0.125 0.0625 0 0.0625 0.125 0.0625 0.1875 0.0625 0.125 0.0625 0 0 0.125 0 0.125 0.0625 0.3125 0.3125 0.3125 0.4375 0.3125 0.1875 0.0625 0.125 0 0 0.1875 0 0.25 0.0625 0.0625 0.125 0.1875
"aut" 0 0 0.125 0.0625 0.25 0.3125 0.125 0.125 0.0625 0.0625 0.125 0.25 0 0 0.125 0.25 0 0.0625 0.0625 0.1875 0.4375 0.125 0.125 0.125 0.1875 0 0.0625 0.25 0.375 0 0.25 0.5 0.125 0.0625 0.0625 0.0625 0.625 0 0.375 0.375 0.0625 0 0.25 0.25 0 0.125 0.4375 0.3125 0.1875
"contra" 0.0625 0.125 0.125 0.0625 0.0625 0 0.0625 0.1875 0.0625 0.1875 0 0.0625 0.1875 0.125 0 0.0625 0.25 0.0625 0.0625 0.125 0.125 0.125 0 0.1875 0.125 0.0625 0.4375 0.25 0.125 0.75 0.125 0.25 0 0.1875 0.1875 0.125 0.1875 0.25 0.3125 0.125 0.0625 0.25 0.25 0.1875 0.0625 0.0625 0 0.125 0.375
"siue" 0.125 0.3125 0.1875 0.1875 0 0 0 0.0625 0 0.125 0 0.0625 0.1875 0 0.125 0 0.1875 0.1875 0.125 0.3125 0.125 0.5 0 0 0.125 0 0 0.0625 0.125 0.1875 0.125 0 0.25 0.125 0.1875 0.125 0.125 0 0.125 0.5 0.25 0 0.5 0.3125 0.3125 0.0625 0.0625 0.25 0.125
"an" 0 0.125 0.25 0.1875 0.0625 0.125 0.5625 0.125 0 0 0.125 0.25 0.125 0 0.1875 0.125 0.125 0.1875 0.0625 0.125 0.125 0 0.0625 0.1875 0.25 0.0625 0.1875 0.125 0.125 0.0625 0.4375 0 0.1875 0 0.0625 0.0625 0.25 0.0625 0.0625 0.375 0.375 0.0625 0.125 0.1875 0 0 0.4375 0.0625 0.0625
"quoque" 0.125 0 0 0.1875 0.25 0.1875 0.0625 0.375 0 0 0.5 0.1875 0.0625 0 0 0 0 0 0 0 0.1875 0 0 0 0.0625 0.0625 0.375 0 0.1875 0.25 0 0 0 0.125 0.1875 0.0625 0.375 0.625 0.0625 0.0625 0.125 0.375 0.25 0.1875 0.5625 0.375 0.0625 0.0625 0.1875
"ante" 0.1875 0 0.25 0.3125 0.0625 0.0625 0.125 0.125 0 0.0625 0.1875 0.0625 0.125 0 0.125 0 0.5625 0.1875 0 0 0 0 0 0.125 0 0 0 0 0 0.125 0.125 0.0625 0.25 0 0.0625 0.0625 0.25 0.25 0.125 0.4375 0.0625 0.0625 0 0.0625 0.8125 0.0625 0.5 0.3125 0
"ne" 0 0.0625 0 0.125 0.375 0.1875 0 0.3125 0 0.3125 0.0625 0.125 0 0.0625 0.0625 0 0.125 0.3125 0.25 0.0625 0.0625 0 0.3125 0.25 0.25 0.0625 0.0625 0.25 0.0625 0.1875 0 0 0 0.25 0 0.1875 0.1875 0.25 0.0625 0.125 0.4375 0.0625 0.1875 0.0625 0.0625 0.0625 0.1875 0 0.0625
"super" 0 0 0.0625 0.3125 0.0625 0 0 0.0625 0.125 0.0625 0.125 0 0.0625 0.1875 0.0625 0 0.0625 0.3125 0 0 0.125 0.0625 0.0625 0.0625 0.3125 0.375 0 0.125 0.25 0.3125 0.0625 0.1875 0.0625 0.3125 0.125 0.0625 0.25 0.0625 0.125 0 0.0625 0.25 0.0625 0.125 0 0.25 0.3125 0.0625 0.375
"inter" 0.0625 0.3125 0.375 0.0625 0.1875 0.0625 0.0625 0.1875 0 0.125 0.125 0.0625 0.0625 0.125 0.0625 0.125 0.1875 0 0 0 0.125 0 0.1875 0.0625 0 0 0 0 0.1875 0 0.5 0.6875 0.5625 0.0625 0.0625 0.125 0 0.125 0.0625 0 0.1875 0.125 0.0625 0.125 0 0 0.0625 0.0625 0.1875
"dum" 0.25 0 0.125 0.0625 0.1875 0.125 0 0 0.0625 0 0.0625 0.0625 0 0.3125 0.25 0.125 0 0.0625 0.1875 0 0.0625 0.0625 0.125 0.1875 0.125 0.0625 0.0625 0.0625 0 0.125 0 0.0625 0 0.1875 0.1875 0.0625 0.25 0.0625 0.0625 0.1875 0.25 0 0 0.0625 0.5625 0.125 0.5 0.1875 0.0625
"atque" 0.1875 0.125 0.1875 0 0.0625 0.125 0.3125 0.1875 0.125 0 0 0.0625 0.0625 0 0.125 0.375 0.125 0.0625 0 0.125 0.0625 0 0.125 0 0.0625 0 0 0.3125 0.25 0 0.125 0 0.25 0.0625 0.0625 0.5 0 0.125 0 0.375 0 0.3125 0.0625 0.0625 0.0625 0.1875 0.25 0.1875 0
"apud" 0.3125 0.125 0 0.125 0 0.0625 0 0 0.125 0.0625 0 0 0.0625 0 0 0.0625 0.125 0.4375 0.25 0.125 0.1875 0.0625 0.0625 0 0.0625 0.0625 0.0625 0.0625 0.0625 0.125 0 0.1875 0.0625 0.0625 0.0625 0.0625 0 0.0625 0 0.125 0.0625 0.125 0 0.4375 0.125 0.25 0.125 0.25 0.0625
"postea" 0.25 0.0625 0.3125 0.625 0.125 0.1875 0 0 0 0 0 0.0625 0.1875 0 0 0 0.1875 0 0 0 0 0 0.0625 0 0 0 0.0625 0 0 0.0625 0.125 0.0625 0.1875 0.1875 0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0 0.0625 0 0 0.375 0.0625 0.25 0.375 0.25
"ideo" 0 0.125 0.0625 0 0.0625 0.125 0 0.0625 0.1875 0.4375 0.0625 0.125 0.125 0 0.125 0.0625 0 0 0.0625 0.1875 0.125 0.125 0.0625 0 0.3125 0 0.125 0.0625 0.125 0 0.0625 0.1875 0.125 0.1875 0.0625 0.25 0.0625 0.0625 0 0.125 0 0.0625 0 0.0625 0 0 0.0625 0 0.0625
"ecce" 0 0.0625 0.1875 0.25 0.1875 0.1875 0.0625 0 0.25 0.0625 0.125 0.125 0.0625 0.1875 0.0625 0.25 0 0.125 0 0.0625 0.125 0.25 0.1875 0.1875 0 0.1875 0 0.0625 0 0 0.25 0.125 0 0.125 0.125 0.0625 0 0 0 0 0.125 0 0 0.0625 0 0 0.125 0 0.0625
"propter" 0 0.0625 0 0.0625 0 0 0.1875 0.125 0.3125 0 0 0.0625 0.0625 0 0 0 0.125 0 0 0 0.125 0.0625 0 0.125 0.125 0 0.1875 0.0625 0.0625 0.0625 0 0.25 0 0.875 0.1875 0.125 0 0.0625 0.0625 0.0625 0.25 0.0625 0.0625 0.0625 0.1875 0 0 0.0625 0.1875
"aliquando" 0 0 0.0625 0 0 0 0 0.0625 0 0 0.125 0.125 0 0.0625 0 0.1875 0 0.4375 0 0 0.0625 0 0.0625 0 0.3125 0.125 0.625 0 0 0 0 0 0.0625 0 0 0 0 0 0 0.375 0.3125 0 0 0.125 0 0 0.0625 0.125 0.125
"supra" 0 0.25 0.1875 0.0625 0 0.1875 0.125 0.5625 0 0.125 0.0625 0.1875 0 0.0625 0 0.0625 0.125 0.0625 0 0.0625 0 0 0 0.0625 0.1875 0 0 0 0 0.125 0.0625 0.0625 0 0 0.125 0.0625 0.125 0.1875 0.0625 0.0625 0 0.25 0.125 0.0625 0 0 0 0 0.0625
"tunc" 0 0 0 0.0625 0 0.0625 0.0625 0 0.0625 0 0 0.1875 0 0 0.3125 0.1875 0.125 0.1875 0 0 0 0.0625 0.1875 0.0625 0.1875 0.0625 0.0625 0.0625 0 0.0625 0.375 0.25 0.125 0 0 0 0 0.0625 0 0.0625 0.3125 0 0 0.0625 0 0.0625 0.125 0.0625 0.0625
"itaque" 0.125 0.0625 0.125 0.0625 0.3125 0 0 0.0625 0.125 0 0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0 0.0625 0 0.125 0.125 0 0 0.0625 0.1875 0 0 0 0.0625 0.0625 0 0.125 0.125 0.0625 0.125 0.125 0.0625 0 0.0625 0 0.0625 0 0.0625 0 0.3125 0.0625 0.1875 0.1875 0.0625
"uidelicet" 0 0.1875 0.25 0 0.0625 0.0625 0 0.0625 0.0625 0 0 0.125 0.125 0.125 0.0625 0.0625 0.0625 0 0 0.125 0.0625 0.0625 0 0 0.125 0.0625 0 0 0.125 0.3125 0 0.3125 0.0625 0.0625 0.1875 0.125 0.0625 0.125 0 0 0.125 0 0.0625 0 0 0.0625 0 0.0625 0.0625
"quomodo" 0 0.0625 0 0 0.3125 0.3125 0 0 0 0 0 0 0 0 0.0625 0 0 0.375 0.0625 0 0 0.0625 0.0625 0.0625 0.125 0 0 0.125 0 0 0.125 0.125 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0.1875 0.9375 0.4375 0.0625
"quando" 0 0 0 0 0 0.0625 0 0 0.0625 0 0 0.3125 0 0.0625 0.125 0.375 0.0625 0.3125 0 0 0 0.0625 0 0.125 0.125 0.3125 0 0 0 0.0625 0.125 0 0.375 0 0 0 0 0 0.0625 0 0.4375 0.0625 0 0.125 0 0 0.25 0 0
"namque" 0 0.0625 0 0 0.1875 0.0625 0 0 0 0 0 0.0625 0 0.0625 0 0.0625 0.0625 0 0 0.125 0.125 0.0625 0 0 0.1875 0 0.0625 0.0625 0.25 0.25 0.25 0.0625 0 0.125 0.0625 0.25 0 0.0625 0.125 0.0625 0 0.0625 0.0625 0 0 0.25 0.0625 0 0.0625
"quamuis" 0 0 0 0 0 0 0 0.0625 0 0.3125 0 0.125 0 0.125 0.0625 0 0 0 0 0.0625 0.125 0 0 0 0.1875 0 0.125 0.125 0 0 0 0 0.1875 0.3125 0.125 0.1875 0.125 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.3125 0 0 0 0 0.1875
"etsi" 0 0.125 0.125 0 0 0 0 0.0625 0.25 0 0 0.1875 0.0625 0 0.125 0 0 0.25 0.0625 0 0.125 0.125 0 0.3125 0.3125 0.0625 0 0.125 0 0.0625 0.0625 0 0 0.0625 0 0 0.1875 0.0625 0 0.0625 0 0 0 0 0.0625 0 0.0625 0 0.0625
"similiter" 0.0625 0.0625 0 0.1875 0 0.0625 0.125 0.125 0 0 0 0.125 0.25 0 0 0 0 0 0 0.125 0.125 0 0.0625 0 0 0 0.125 0 0 0.0625 0.125 0.0625 0.25 0 0 0.0625 0 0.125 0.0625 0.0625 0 0.0625 0.125 0.0625 0.0625 0.125 0 0.125 0
"nunc" 0 0.3125 0.25 0 0.125 0.0625 0.3125 0.0625 0.0625 0 0.0625 0.1875 0 0.125 0.1875 0.0625 0 0.125 0.0625 0 0 0.0625 0 0.0625 0 0 0.0625 0.0625 0 0 0 0 0 0 0.125 0.25 0 0 0 0 0 0 0 0 0 0 0 0.0625 0
"infra" 0.0625 0.0625 0.3125 0 0 0 0.0625 0.0625 0 0 0 0.0625 0.3125 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0.0625 0.0625 0.25 0 0.1875 0.4375 0.0625 0.0625 0 0.0625 0 0 0
